id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
1FTFW1E52PKD53745	2023 Ford F-150 XL	Ford	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ford-f-150-xl-4-wheel-drive-crew-pickup-1ftfw1e52pkd53745/	33249 USD	2023 White Ford F-150 Used 2023 Ford F-150 XL Crew Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://www.dahlchevroletgmcwinona.com/wp-content/plugins/inventory/images/notfound.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW1E52PKD53745	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ford-f-150-xl-4-wheel-drive-crew-pickup-1ftfw1e52pkd53745/123?store={store_code}	WHITE	111483 miles	F-150	1FTFW1E52PKD53745	2023	33249 USD	CBGMC	33249 USD	MI
1C4JJXN61PW691019	2023 Jeep Wrangler 4xe 4DR 4WD	Jeep	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-jeep-wrangler-4xe-4dr-4wd-4-wheel-drive-suv-1c4jjxn61pw691019/	26249 USD	2023 Gray Jeep Wrangler 4xe Used 2023 Jeep Wrangler 4xe 4DR 4WD SUV For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/7d71-110010023/1C4JJXN61PW691019/thumbnails/large/a0eac472cf16b3f6fdf1350df0b9bae4.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4JJXN61PW691019	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-jeep-wrangler-4xe-4dr-4wd-4-wheel-drive-suv-1c4jjxn61pw691019/123?store={store_code}	GRAY	31860 miles	Wrangler 4xe	1C4JJXN61PW691019	2023	26249 USD	CBGMC	26249 USD	MI
JA4J4VA86PZ007366	2023 Mitsubishi Outlander SEL	Mitsubishi	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-mitsubishi-outlander-sel-all-wheel-drive-suv-ja4j4va86pz007366/	21749 USD	2023 Blue Mitsubishi Outlander Used 2023 Mitsubishi Outlander SEL SUV AWD For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/f35c-110010023/JA4J4VA86PZ007366/thumbnails/large/8de76da1145f39b46d8fd5db7caea2d1.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JA4J4VA86PZ007366	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-mitsubishi-outlander-sel-all-wheel-drive-suv-ja4j4va86pz007366/123?store={store_code}	BLUE	68464 miles	Outlander	JA4J4VA86PZ007366	2023	21749 USD	CBGMC	21749 USD	MI
5N1BT3AB0PC882146	2023 Nissan Rogue S	Nissan	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-nissan-rogue-s-all-wheel-drive-suv-5n1bt3ab0pc882146/	22249 USD	2023 Gray Nissan Rogue Used 2023 Nissan Rogue S SUV AWD For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/cc1f-110010023/5N1BT3AB0PC882146/thumbnails/large/de0aef2d7318db1868036916a752f701.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5N1BT3AB0PC882146	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-nissan-rogue-s-all-wheel-drive-suv-5n1bt3ab0pc882146/123?store={store_code}	GRAY	24413 miles	Rogue	5N1BT3AB0PC882146	2023	22249 USD	CBGMC	22249 USD	MI
JN8BT3BB0PW498454	2023 Nissan Rogue SV	Nissan	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-nissan-rogue-sv-all-wheel-drive-suv-jn8bt3bb0pw498454/	23749 USD	2023 White Nissan Rogue Used 2023 Nissan Rogue SV SUV AWD For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/caf7-110010023/JN8BT3BB0PW498454/thumbnails/large/013fed8139474a3842ed0c3c61f294ca.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JN8BT3BB0PW498454	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-nissan-rogue-sv-all-wheel-drive-suv-jn8bt3bb0pw498454/123?store={store_code}	WHITE	33099 miles	Rogue	JN8BT3BB0PW498454	2023	23749 USD	CBGMC	23749 USD	MI
1C6SRFKT8PN634234	2023 Ram 1500 Longhorn	Ram	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ram-1500-longhorn-4-wheel-drive-crew-pickup-1c6srfkt8pn634234/	30749 USD	2023 White Ram 1500 Used 2023 Ram 1500 Longhorn Crew Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/d72c-110010023/1C6SRFKT8PN634234/thumbnails/large/de68261da8dd51d6d1b2109eb1ef9bd3.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6SRFKT8PN634234	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ram-1500-longhorn-4-wheel-drive-crew-pickup-1c6srfkt8pn634234/123?store={store_code}	WHITE	131856 miles	1500	1C6SRFKT8PN634234	2023	30749 USD	CBGMC	30749 USD	MI
3C6UR5FL9PG647340	2023 Ram 2500 Laramie	Ram	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ram-2500-laramie-4-wheel-drive-crew-pickup-3c6ur5fl9pg647340/	53749 USD	2023 Black Ram 2500 Used 2023 Ram 2500 Laramie Crew Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/22e1-110010023/3C6UR5FL9PG647340/thumbnails/large/24c838446a4387a367fa36de99d95620.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3C6UR5FL9PG647340	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-ram-2500-laramie-4-wheel-drive-crew-pickup-3c6ur5fl9pg647340/123?store={store_code}	BLACK	24107 miles	2500	3C6UR5FL9PG647340	2023	53749 USD	CBGMC	53749 USD	MI
5TDKSKFC3PS085598	2023 Toyota Sienna LE	Toyota	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-toyota-sienna-le-all-wheel-drive-van-5tdkskfc3ps085598/	26749 USD	2023 White Toyota Sienna Used 2023 Toyota Sienna LE Van AWD For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/6472-110010023/5TDKSKFC3PS085598/thumbnails/large/7b1a8e7d6c43112cadca736ef58376f5.webp	in stock	USED	VAN	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5TDKSKFC3PS085598	https://www.dahlchevroletgmcwinona.com/inventory/used-2023-toyota-sienna-le-all-wheel-drive-van-5tdkskfc3ps085598/123?store={store_code}	WHITE	130721 miles	Sienna	5TDKSKFC3PS085598	2023	26749 USD	CBGMC	26749 USD	MI
1FTFW5L89RFA95983	2024 Ford F-150 LARIAT	Ford	https://www.dahlchevroletgmcwinona.com/inventory/used-2024-ford-f-150-lariat-four-wheel-drive-supercrew-cab-1ftfw5l89rfa95983/	51700 USD	2024 Avalanche Ford F-150 Used 2024 Ford F-150 LARIAT SuperCrew Cab 4WD V6 Cylinder For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/b5d9-110010023/1FTFW5L89RFA95983/thumbnails/large/b44f590d5b7ed131cc6ee92cf0d42058.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW5L89RFA95983	https://www.dahlchevroletgmcwinona.com/inventory/used-2024-ford-f-150-lariat-four-wheel-drive-supercrew-cab-1ftfw5l89rfa95983/123?store={store_code}	NA	23417 miles	F-150	1FTFW5L89RFA95983	2024	51700 USD	CBGMC	51700 USD	MI
KNDNC5H34R6395853	2024 Kia Carnival EX	Kia	https://www.dahlchevroletgmcwinona.com/inventory/used-2024-kia-carnival-ex-front-wheel-drive-sports-van-kndnc5h34r6395853/	32749 USD	2024 White Kia Carnival Used 2024 Kia Carnival EX Sports Van FWD For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/fd2f-110010023/KNDNC5H34R6395853/thumbnails/large/8dfe0487c698b2f32ad4be9b43f136bb.webp	in stock	USED	VAN	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	KNDNC5H34R6395853	https://www.dahlchevroletgmcwinona.com/inventory/used-2024-kia-carnival-ex-front-wheel-drive-sports-van-kndnc5h34r6395853/123?store={store_code}	WHITE	31105 miles	Carnival	KNDNC5H34R6395853	2024	32749 USD	CBGMC	32749 USD	MI
