id	item_group_id	title	description	link	image_link	availability	price	sale_price	brand	condition	identifier_exists	google_product_category	product_type
5045		Chocolate Covered Oreos	Hmm, What can make the Classic Oreo(R) even better?! Dipping them in Luxurious Milk Chocolate, Rich & Decadent Dark Chocolate or Indulgent White Chocolate, YES!	https://candylandstore.com/shop/chocolate-covered-oreos/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0119.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Fine Chocolates > More Fine Chocolate
141646		Chocolate Covered Peanut Butter Gram	Milk Chocolate-smothered graham crackers sandwiched between a dollop of creamy peanut butter, dipped once again in milk chocolate, topped with a dash of sea salt.	https://candylandstore.com/shop/chocolate-covered-peanut-butter-grams/	https://candylandstore.com/wp-content/uploads/2023/06/PB-grams.png	in_stock	3.75 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Chocolate Covered > Christmas Sweets & Treats > Fine Chocolates
146775		Chocolate Covered Peanuts (Milk or Dark)	Dark Chocolate Peanuts : Enjoy the healthy mixture that comes from a bite of a Dark Chocolate Peanut. The sweet nutty taste of a peanut and the rich taste of gourmet dark chocolate complement each other perfectly. Milk Chocolate Peanuts : Crunch your way through a handful of these to enjoy the perfectly proportioned combination of salty and sweet. Try these salty and nutty peanuts enveloped in two layers of sweet milk chocolate.	https://candylandstore.com/shop/chocolate-covered-peanuts-milk-dark/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0988.jpeg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
971		Chocolate Covered Pretzels	Milk Chocolate: Enjoy the salty crunch of a pretzel mixed with a sweet coating of milk chocolate. A classic combination and a delicious snack! Dark Chocolate: A crumbly pretzel, evenly salted and perfectly baked, blends smoothly with rich dark chocolate in our Dark Chocolate Pretzels. These are the perfect size snack to enjoy as a dessert, or just to munch on for a pick-me-up at work. White Chocolate : White chocolate adds a lot of smooth and sweet flavor to a pretzel in our White Chocolate Coated Pretzels. A sharp crunch with a smooth finish makes for a perfect treat Milk Chocolate Covered with Toffee Pretzels : Although these are a crunchy treat, the toffee gives these Toffee Pretzels almost a soft bite. The sweet and chewy treats are coated with milk chocolate and toffee bits that surround a salty pretzel. Milk Chocolate Covered with M&Ms™: These pretzels are best described as decadent. The crunch of a salty pretzel, the smooth chocolate, the satisfying bite of Mini M&Ms™: you deserve something as sweet as this!	https://candylandstore.com/shop/chocolate-covered-pretzels/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0126-1.jpg	in_stock	25.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Fine Chocolates > More Fine Chocolate
146810		Chocolate Covered Raisins (Milk or Dark)	Dark Chocolate : For a healthy combination of chocolate and fruit, Dark Chocolate Raisins can provide just the light texture and satisfying chocolate you need to ease your temptation. As the hardened chocolate gives way to the soft raisin, you will surely be pleased. Milk Chocolate : If you like your milk chocolate to have a slightly fruity tone, then Milk Chocolate Raisins are perfect for you. With a satisfying texture and familiar taste, it’s easy to find yourself drawn to these.	https://candylandstore.com/shop/chocolate-covered-raisins-milk-or-dark/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0987.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
3056		Chocolate Fudge (Plain or With Walnuts)	Chocolate Fudge (Plain or With Walnuts)	https://candylandstore.com/shop/chocolate-fudge/	https://candylandstore.com/wp-content/uploads/2016/06/CandyLand_20030610_0128-1.jpg	in_stock	15.99 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Christmas Sweets & Treats > Father's Day > Fine Chocolates
146505		Chocolate Grahams	Tasty, Golden, graham crackers dipped in luxurious milk chocolate Ingredients: Graham Wafers (enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], sugar, shortening [partially hydrogenated soybean oil], graham flour, high fructose corn syrup, cornstarch, natural vanilla flavor, baking soda, soy lecithin, salt, molasses), Milk Chocolate (sugar, milk, cocoa butter, chocolate liquor, soy lecithin, natural flavor). Contains: Milk, Soy and Wheat. Manufactured in a facility that processes Egg, Milk, Peanuts, Sesame, Soy, Tree Nuts and Wheat	https://candylandstore.com/shop/chocolate-grams-2/	https://candylandstore.com/wp-content/uploads/2016/08/Candyland-Web-83.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bulk Chocolate > Holidays
146649		Chocolate Rocks	A twist on the classic idea of chocolate with a candy coating. Shaped and colored like little pebbles, Chocolate Rocks are an exciting treat for the geologists in your life, and a favorite amongst children. Ingredients: Milk Chocolate (Sugar, Cocoa Butter, Cocoa Paste, Powdered Whole Milk, Lecithin, Natural Flavor), Sugar, Maltodextrin, Titanium Dioxide, Artificial Colors (Include FD&C Blue 1, Blue 2, Red 40, Yellow 5, Yellow 6), Beet Juice, Caramel, Confectioners Glaze, Carnauba Wax. Peanut Free, Tree Nut Free, Non-GMO, Kosher	https://candylandstore.com/shop/chocolate-rocks-2/	https://candylandstore.com/wp-content/uploads/2016/08/Candyland-Web-46.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Birthdays > Bulk Chocolate > Christmas
4419		Chocolate Rose	semi-solid molded milk chocolate rose is covered in bight red foil, nestled in silk leaves atop a graceful 14 inch green stem. And of course there are no thorns on these chocolate roses! The perfect “I love you” gift.	https://candylandstore.com/shop/chocolate-roses/	https://candylandstore.com/wp-content/uploads/2016/09/Chocolate-Roses.jpg	in_stock	4.95 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Additional Sweets & Treats > Candy > Holidays
146616		Chocolate Stars	Let these astronomical chunks melt away on your tongue, sending a cascade of milky chocolate through your senses. The ridged texture contrasts the smooth, creamy chocolate. Ingredients : Sugar, Cocoa Butter, Milk, Chocolate Liquor, Soy Lecithin, and Vanillin (an artificial flavoring). Contains: Milk and Soy.	https://candylandstore.com/shop/chocolate-stars-2/	https://candylandstore.com/wp-content/uploads/2016/08/DSC_0993.jpg	in_stock	9.00 USD		Candyland	new	no	Food, Beverages & Tobacco > Food Items > Candy & Chocolate	Bulk Chocolate > Christmas > Holidays
