id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit	certified_pre_owned	custom_label_0
1N6ED1EK3PN658223	2023 Nissan Frontier PRO-4X	Nissan	https://www.mankatomotors.com/used/Nissan/2023-Nissan-Frontier-a8cf9adbac180c97dc3ffb0c7554adb5.htm	37000 USD	2023 Baja Storm Nissan Frontier PRO-4X 3.8L V-6 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/1677/c98138be8c3a208658aa5cb2c47e4c46x.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1N6ED1EK3PN658223	https://www.mankatomotors.com/used/Nissan/2023-Nissan-Frontier-a8cf9adbac180c97dc3ffb0c7554adb5.htm?store={store_code}	NA	25940 miles	Frontier	1N6ED1EK3PN658223	2023	37000 USD	MM100	37000 USD	MI	no	Used
3VV4B7AX5MM031636	2021 Volkswagen Tiguan 2.0T SEL Premium R-Line	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-6c11f2f0ac184d75e32c2e107793a56f.htm	23339 USD	2021 Atlantic Blue Metallic Volkswagen Tiguan 2.0T SEL Premium R-Line 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/0012/7b9b2115c2445d4ee9a35355559c72b4x.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV4B7AX5MM031636	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-6c11f2f0ac184d75e32c2e107793a56f.htm?store={store_code}	BLUE	65100 miles	Tiguan	3VV4B7AX5MM031636	2021	23339 USD	MM100	23339 USD	MI	yes	Certified
3VV2B7AX4MM139821	2021 Volkswagen Tiguan 2.0T SE	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-b9c253d3ac1820874a57f05dc1251fab.htm	20848 USD	2021 Pyrite Silver Metallic Volkswagen Tiguan 2.0T SE 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/1050/5389d68b9fa750c73d8fa9b3931bd96dx.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV2B7AX4MM139821	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-b9c253d3ac1820874a57f05dc1251fab.htm?store={store_code}	SILVER	60455 miles	Tiguan	3VV2B7AX4MM139821	2021	20848 USD	MM100	20848 USD	MI	yes	Certified
3VV0B7AX6MM097255	2021 Volkswagen Tiguan 2.0T S	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-c8c6d177ac183ecbd73d4eaec9896a78.htm	17339 USD	2021 Pyrite Silver Metallic Volkswagen Tiguan 2.0T S 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/1637/a75b0bf81f7cb6726ff7675fb518ce18x.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV0B7AX6MM097255	https://www.mankatomotors.com/certified/Volkswagen/2021-Volkswagen-Tiguan-c8c6d177ac183ecbd73d4eaec9896a78.htm?store={store_code}	SILVER	73190 miles	Tiguan	3VV0B7AX6MM097255	2021	17339 USD	MM100	17339 USD	MI	yes	Certified
3VV2B7AX9NM026349	2022 Volkswagen Tiguan 2.0T SE	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2022-Volkswagen-Tiguan-404f319bac181da0dd1bebc3042702f2.htm	21339 USD	2022 Atlantic Blue Metallic Volkswagen Tiguan 2.0T SE 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0635/e54e6775ca4f02c0a01f693e0c4d995ex.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV2B7AX9NM026349	https://www.mankatomotors.com/certified/Volkswagen/2022-Volkswagen-Tiguan-404f319bac181da0dd1bebc3042702f2.htm?store={store_code}	BLUE	64608 miles	Tiguan	3VV2B7AX9NM026349	2022	21339 USD	MM100	21339 USD	MI	yes	Certified
3VV2X7B21PM343873	2023 Volkswagen Taos 1.5T SEL	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Taos-04059d48ac184abdfb3c758d5cc9b977.htm	26000 USD	2023 Deep Black Pearl Volkswagen Taos 1.5T SEL 1.5L i-4 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0126/369e06ecc5d2eddfa1c5fe56cbff191ex.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV2X7B21PM343873	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Taos-04059d48ac184abdfb3c758d5cc9b977.htm?store={store_code}	BLACK	12215 miles	Taos	3VV2X7B21PM343873	2023	26000 USD	MM100	26000 USD	MI	yes	Certified
3VVRB7AX4PM124934	2023 Volkswagen Tiguan 2.0T S	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-3b283cfdac18518b4729f63b69781065.htm	21599 USD	2023 Pure White Volkswagen Tiguan 2.0T S 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/1373/e66889cd831495ee2150f6987b1469fcx.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VVRB7AX4PM124934	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-3b283cfdac18518b4729f63b69781065.htm?store={store_code}	WHITE	24945 miles	Tiguan	3VVRB7AX4PM124934	2023	21599 USD	MM100	21599 USD	MI	yes	Certified
3VVMB7AX2PM131519	2023 Volkswagen Tiguan 2.0T SE	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-9546a5b3ac183f8e6f12a6e3c40fc15d.htm	27000 USD	2023 Atlantic Blue Metallic Volkswagen Tiguan 2.0T SE 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/1396/852965d2a70d58a95865243e76617593x.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VVMB7AX2PM131519	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-9546a5b3ac183f8e6f12a6e3c40fc15d.htm?store={store_code}	BLUE	16601 miles	Tiguan	3VVMB7AX2PM131519	2023	27000 USD	MM100	27000 USD	MI	yes	Certified
3VV3B7AX3PM060147	2023 Volkswagen Tiguan 2.0T SE	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-b31ae2a2ac180c97dc3ffb0c88b4047a.htm	23339 USD	2023 Deep Black Pearl Volkswagen Tiguan 2.0T SE 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/0116/6104629112b0d8896e8a06e9cdde0fa0x.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3VV3B7AX3PM060147	https://www.mankatomotors.com/certified/Volkswagen/2023-Volkswagen-Tiguan-b31ae2a2ac180c97dc3ffb0c88b4047a.htm?store={store_code}	BLACK	38653 miles	Tiguan	3VV3B7AX3PM060147	2023	23339 USD	MM100	23339 USD	MI	yes	Certified
1V2HR2CA3RC502598	2024 Volkswagen Atlas 2.0T SE w/Technology	Volkswagen	https://www.mankatomotors.com/certified/Volkswagen/2024-Volkswagen-Atlas-5255cc06ac1859bf9bb2d4fd4e4aaf68.htm	32000 USD	2024 Deep Black Pearl Volkswagen Atlas 2.0T SE w/Technology 2L Other For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatovw/1058/95005d5e8e770afe123edd0dd0905f9dx.jpg	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1V2HR2CA3RC502598	https://www.mankatomotors.com/certified/Volkswagen/2024-Volkswagen-Atlas-5255cc06ac1859bf9bb2d4fd4e4aaf68.htm?store={store_code}	BLACK	31269 miles	Atlas	1V2HR2CA3RC502598	2024	32000 USD	MM100	32000 USD	MI	yes	Certified
